claim_id,source_id,layer,entity,date_or_period,claim_type,claim,status,confidence,notes
C101,SRC-Q2A,Financials,NBIS,Q2-2026,reported_number,"Q2 2026 revenue $582.3M +454% YoY; beat consensus $569.9M",unverified_secondary,medium,"多源一致(TradingKey/SeekingAlpha/Investing);一手源 SEC+IR+BusinessWire 均被出口代理拦截,待回一手核"
C102,SRC-Q2A,Financials,NBIS,Q2-2026,reported_number,"AI cloud revenue $575M +514% YoY",unverified_secondary,medium,""
C103,SRC-Q2A,Financials,NBIS,Q2-2026,reported_number,"adj EBITDA +$236.2M vs -$21.0M PY; margin 40.6%",unverified_secondary,medium,"衍生: 236.2/582.3=40.6%. 大超预期 $173M"
C104,SRC-Q2A,Financials,NBIS,Q2-2026,reported_number,"GAAP 净亏损 -$190.4M; EPS -$0.68 (PY +$2.05)",unverified_secondary,medium,"PY 的 +$2.05 含 ClickHouse 重估非现金收益(见旧卡 C008),不可比"
C105,SRC-Q2A,Financials,NBIS,Q2-2026,reported_number,"cost of revenue $133.6M +344%; 占营收 22.9% (PY 29%)",unverified_secondary,medium,"单位经济改善的最硬证据"
C106,SRC-Q2A,Financials,NBIS,H1-2026,reported_number,"上半年营收 $981.3M +529%; adj EBITDA +$365.7M (PY -$74.7M)",unverified_secondary,medium,""
C107,SRC-Q2B,Financials,NBIS,Q2-2026,reported_number,"经营现金流 +$2.25B; 单季 capex $5.66B",unverified_secondary,medium,"衍生 FCF = -$3.41B 单季. OCF 主要由递延收入/营运资本驱动,非经营质量"
C108,SRC-Q2B,Financials,NBIS,2026-06-30,reported_number,"现金及受限现金 $9.10B (含现金及等价物 $8.04B); 本季减少 $528.8M",unverified_secondary,medium,""
C109,SRC-Q2B,Financials,NBIS,2026-06-30,reported_number,"PP&E $13.05B (YE2025 $5.55B); 非流动负债 $8.50B (YE2025 $4.10B)",unverified_secondary,medium,"非流动负债一季翻倍 —— 融资结构转向的量化证据"
C110,SRC-Q2A;SRC-Q2B,Financials,NBIS,2026-06-30,reported_number,"递延收入口径冲突: 源A '增加 $3,200.6M 至 $4,778.1M'; 源B '流动+非流动 从 $1.58B 增至 ~$5.98B'",CONFLICT,low,"差约 $1.2B. 可能是分类口径(仅流动 vs 合计)或时点不同. 必须回一手源解决"
C111,SRC-Q2B,Financials,NBIS,Q2-2026,qualitative,"有源称 Q2 转为净负债状态",CONFLICT,low,"与 C108/C109 名义值不符(现金 $9.10B vs 非流动债 $8.50B = 净现金 +$0.6B). 口径待核(是否含流动负债/按本金 vs 账面)"
C112,SRC-Q2C,Power,NBIS,YE2026,guidance,"合同产能指引上调至 5 GW (原 >4 GW)",unverified_secondary,medium,"对应旧卡 C018 的 >4GW"
C113,SRC-Q2C,Power,NBIS,YE2026,guidance,"connected power 年底指引 800MW-1GW (未变)",unverified_secondary,medium,"与旧卡 C019 一致,未上调"
C114,,Power,NBIS,Q2-2026,reported_number,"当期实际 active MW",OPEN,none,"⚠️ 二手源全部只给年底指引,未见当期实际值. 旧卡 C020 记 YE2025 ~170MW, Q1'26 未披露. 若 Q2 仍未披露 => K-A 的'持续不披露'腿成立,完整度封顶不解除"
C115,SRC-Q2C,Contracts,NBIS,Q2-2026,reported_number,"RPO $33.6B; 29% 于 24 个月内确认, 39% 于 25-48 个月",unverified_secondary,medium,"衍生: 24 个月内约 $9.7B"
C116,SRC-Q2C,Contracts,NBIS,Q2-2026,reported_number,"Q2 签四笔合同, 平均 TCV > $1B 每笔",unverified_secondary,medium,"直接缓解集中度: 命中旧 monitor 的绿档'named 3rd large anchor'"
C117,SRC-Q2C,Pricing,NBIS,Q2-2026,reported_number,"成交单 MW 年合同价值 > $20M; 新签价区间升至 $40-50M/MW, 本周已签首笔",unverified_secondary,medium,"⭐ 本次最重要的单条. 直接对撞旧卡 M5 的商品化腿与 capital_cycle PEAK-lean 判定"
C118,SRC-Q2A,Guidance,NBIS,FY2026,guidance,"重申 FY26 营收 $3.0-3.4B, adj EBITDA margin ~40%",unverified_secondary,medium,"注意: 只是重申未上调, 尽管 Q2 大超"
C119,SRC-Q2A,Guidance,NBIS,YE2026,guidance,"年底 ARR 指引 $7-9B; Q2 出口 ARR $3.0B",unverified_secondary,medium,"衍生: H2 需再做 2.3x~3.0x. 这是全卡最强的多头腿, 也是最脆的一腿"
C120,SRC-Q2A,Guidance,NBIS,FY2026,guidance,"capex 2026 上调至 $20-25B",unverified_secondary,medium,"⭐ 关键: 旧卡 K-E 的红线是'坐实 $31-35B 高端而无相称转化'. $20-25B 落在低端 => K-E 证伪"
C121,SRC-Q2C,Financing,NBIS,2026-07,contract_term,"首笔优先担保债 $775M, SOFR+2.50%, 2030-10-31 到期, 由已部署 GPU + 投资级客户合同现金流担保",unverified_secondary,medium,"融资形态从纯可转债转向资产担保 —— 结构性变化"
C122,SRC-Q2C,Financing,NBIS,2026,plan,"计划可转债 ~$3.75B ($2B due 2031 + $1.75B due 2033)",unverified_secondary,low,"最终会稀释. 与 ATM 未动用并存"
C123,SRC-Q2C,Financing,NBIS,2026,qualitative,"ATM 股权计划 最多 2500 万 A 类股, 尚未动用",unverified_secondary,medium,"⭐ 旧卡 K-C(融资从 prepayment 转 dilution)的直接反证"
C124,SRC-Q2C,Guidance,NBIS,FY2026,guidance,"预期 2026 客户预付款 $9B+; 管理层称现在即可按此条款售出全部 2027 产能",unverified_secondary,low,"'现在就能卖光 2027'是管理层口头声明, 非事实. 按 source_policy 记为 SENTIMENT"
C125,SRC-Q2C,Contracts,NBIS,Q2-2026,reported_number,"总合同 ~$46B, 含 Meta ~$27B + Microsoft ~$17B",unverified_secondary,medium,"与旧卡 C013/C016 一致. 注意 backlog($46B) 与 RPO($33.6B) 口径不同, 勿混用"
C126,,Governance,NBIS,FY2026,,"Deloitte FY2026 ICFR 意见 / 折旧政策是否二次变更",OPEN,none,"年报项(20-F ~2027-04), 本次无新信息. 旧卡 C011/C012 的两个红旗未解除"
C127,,Concentration,NBIS,Q2-2026,,"客户集中度百分比",OPEN,none,"仍未披露具体占比. 旧卡 K-F 的'坐实 >60%'无法判定"
